# Final state angular momentum:   1
# Broadening parameter (in eV):    0.100
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   31.48148148    0.01518386
   31.56156156    0.01949738
   31.64164164    0.02521534
   31.72172172    0.02927065
   31.80180180    0.02525778
   31.88188188    0.01963034
   31.96196196    0.02092993
   32.04204204    0.01890553
   32.12212212    0.01671941
   32.20220220    0.01279070
   32.28228228    0.01194081
   32.36236236    0.01272235
   32.44244244    0.01258821
   32.52252252    0.01041816
   32.60260260    0.00985524
   32.68268268    0.01101928
   32.76276276    0.01329521
   32.84284284    0.01622555
   32.92292292    0.01985279
   33.00300300    0.01884206
   33.08308308    0.01767246
   33.16316316    0.02165860
   33.24324324    0.02500485
   33.32332332    0.02728037
   33.40340340    0.03128407
   33.48348348    0.03602755
   33.56356356    0.03375079
   33.64364364    0.02588520
   33.72372372    0.02040970
   33.80380380    0.01987733
   33.88388388    0.01836971
   33.96396396    0.01508334
   34.04404404    0.01209621
   34.12412412    0.01062575
   34.20420420    0.01060199
   34.28428428    0.01437591
   34.36436436    0.01651888
   34.44444444    0.01272335
   34.52452452    0.00886051
   34.60460460    0.00727243
   34.68468468    0.00783075
   34.76476476    0.00954365
   34.84484484    0.01079039
   34.92492492    0.01150612
   35.00500501    0.01528127
   35.08508509    0.01696721
   35.16516517    0.01399577
   35.24524525    0.01294536
   35.32532533    0.01319776
   35.40540541    0.01441132
   35.48548549    0.01579001
   35.56556557    0.01431712
   35.64564565    0.01023157
   35.72572573    0.00979276
   35.80580581    0.01338402
   35.88588589    0.01508242
   35.96596597    0.01443764
   36.04604605    0.01613051
   36.12612613    0.02089856
   36.20620621    0.02089411
   36.28628629    0.01716676
   36.36636637    0.01357670
   36.44644645    0.01300336
   36.52652653    0.01575947
   36.60660661    0.01675644
   36.68668669    0.01433288
   36.76676677    0.01379790
   36.84684685    0.01320963
   36.92692693    0.01323177
   37.00700701    0.01486688
   37.08708709    0.01929454
   37.16716717    0.02320732
   37.24724725    0.02171579
   37.32732733    0.01622530
   37.40740741    0.01201518
   37.48748749    0.01067156
   37.56756757    0.01065887
   37.64764765    0.01162519
   37.72772773    0.01330220
   37.80780781    0.01765039
   37.88788789    0.01957306
   37.96796797    0.02128906
   38.04804805    0.01804183
   38.12812813    0.01301585
   38.20820821    0.01098123
   38.28828829    0.01017973
   38.36836837    0.00977607
   38.44844845    0.00862436
   38.52852853    0.00826773
   38.60860861    0.00713058
   38.68868869    0.00828294
   38.76876877    0.01102049
   38.84884885    0.01285151
   38.92892893    0.01325724
   39.00900901    0.01379101
   39.08908909    0.01655287
   39.16916917    0.01953910
   39.24924925    0.01833289
   39.32932933    0.01711439
   39.40940941    0.01645363
   39.48948949    0.01593282
   39.56956957    0.01427260
   39.64964965    0.01413371
   39.72972973    0.01497109
   39.80980981    0.01627723
   39.88988989    0.01940574
   39.96996997    0.01896017
   40.05005005    0.01549167
   40.13013013    0.01373234
   40.21021021    0.01076868
   40.29029029    0.00915148
   40.37037037    0.00965834
   40.45045045    0.01022628
   40.53053053    0.01116352
   40.61061061    0.01114735
   40.69069069    0.01078967
   40.77077077    0.01080701
   40.85085085    0.01072438
   40.93093093    0.01026239
