# Final state angular momentum:   1
# Broadening parameter (in eV):    0.100
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   17.38738739    0.03627502
   17.46746747    0.03223410
   17.54754755    0.02373538
   17.62762763    0.02511509
   17.70770771    0.03027538
   17.78778779    0.02999084
   17.86786787    0.03014648
   17.94794795    0.02645942
   18.02802803    0.02511148
   18.10810811    0.02911954
   18.18818819    0.03222350
   18.26826827    0.03185737
   18.34834835    0.02695090
   18.42842843    0.02422313
   18.50850851    0.02202529
   18.58858859    0.02392227
   18.66866867    0.02964569
   18.74874875    0.03918663
   18.82882883    0.04406123
   18.90890891    0.03763576
   18.98898899    0.03679515
   19.06906907    0.04249738
   19.14914915    0.03770296
   19.22922923    0.02564229
   19.30930931    0.02029151
   19.38938939    0.02163839
   19.46946947    0.03188794
   19.54954955    0.05254554
   19.62962963    0.05576529
   19.70970971    0.04790601
   19.78978979    0.04252384
   19.86986987    0.03309476
   19.94994995    0.02824985
   20.03003003    0.03528404
   20.11011011    0.05326624
   20.19019019    0.05407476
   20.27027027    0.05702869
   20.35035035    0.05740554
   20.43043043    0.05608399
   20.51051051    0.06153923
   20.59059059    0.06255755
   20.67067067    0.06772360
   20.75075075    0.06841728
   20.83083083    0.05819513
   20.91091091    0.05703976
   20.99099099    0.04067878
   21.07107107    0.02566427
   21.15115115    0.02002145
   21.23123123    0.02041731
   21.31131131    0.02053592
   21.39139139    0.01898119
   21.47147147    0.02118523
   21.55155155    0.02918520
   21.63163163    0.04188742
   21.71171171    0.05208656
   21.79179179    0.05313342
   21.87187187    0.04118431
   21.95195195    0.04430913
   22.03203203    0.04741470
   22.11211211    0.04386803
   22.19219219    0.04027398
   22.27227227    0.04272351
   22.35235235    0.06578046
   22.43243243    0.07400410
   22.51251251    0.04550475
   22.59259259    0.03156562
   22.67267267    0.03028325
   22.75275275    0.02795978
   22.83283283    0.02829480
   22.91291291    0.03197758
   22.99299299    0.03008171
   23.07307307    0.03159388
   23.15315315    0.03322834
   23.23323323    0.03221948
   23.31331331    0.02216994
   23.39339339    0.01656257
   23.47347347    0.01757598
   23.55355355    0.02488536
   23.63363363    0.03192738
   23.71371371    0.03564629
   23.79379379    0.03501461
   23.87387387    0.03248522
   23.95395395    0.02284000
   24.03403403    0.01554004
   24.11411411    0.01307402
   24.19419419    0.01380195
   24.27427427    0.01566398
   24.35435435    0.02011185
   24.43443443    0.03137204
   24.51451451    0.03325703
   24.59459459    0.03197843
